PROVIDER_ID,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
220135,0.4657651658,-0.368843082,-0.426177833,1.3092991276,,1.0580075794,1.3767425806,-0.854446069,,,0.7675914583,1,1,1,1,0,1,1,1,0,0,1,8,0.125,0.4159923661,0.013108,0.533730,0.7548471008
220163,0.0281714999,-0.521089437,-1.071479815,2.6344226626,0.7274304554,-0.729624727,-0.48428557,-0.411862791,-2.854142433,1.0941189957,0.0838771007,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.13676946,0.013108,0.533730,-0.280810982
220171,0.7191088671,0.0593497945,0.8029687989,1.4112317072,-0.232020569,-0.431686009,-1.330207457,-0.116807273,1.0154001981,1.7934320288,0.7675914583,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.405305595,0.013108,0.533730,0.7348242983
220175,-0.783679907,0.2211115477,0.4166655718,-0.831285044,,0.462130144,-1.161023079,0.0307204863,0.1392773383,-0.187954898,-0.257980078,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.195201792,0.013108,0.533730,-0.390290172
220176,0.2584839556,-1.025405491,0.4605636658,1.3092991276,-0.591814703,-0.630311821,-0.822654325,-0.264335032,-0.152763615,-0.421059243,-0.257980078,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.194361596,0.013108,0.533730,-0.388715977
220177,,-2.029279901,0.2805814804,0.6977036498,,,,-0.854446069,-0.079753377,0.8610146514,,0,1,1,1,0,0,0,1,1,1,0,6,0.1666666667,-0.187363261,0.013108,0.533730,-0.37560385
221300,,0.3733579036,0.3508184308,,,-1.226189256,0.3616363166,-1.297029346,1.1614206748,-2.752102686,,0,1,1,0,0,1,1,1,1,1,0,7,0.1428571429,-0.432583995,0.013108,0.533730,-0.835050982
221302,,-0.283204506,-0.149619841,-0.525487306,,-0.630311821,0.3616363166,0.4733037638,,,0.4257342795,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.046849873,0.013108,0.533730,-0.112337072
221303,,0.7539737934,0.6449356605,-0.015824407,,-0.530998915,,0.3257760046,,,,0,1,1,1,0,1,0,1,0,0,0,5,0.2,0.2355724272,0.013108,0.533730,0.4168111524
230002,-1.428554783,-0.868401437,0.4869025222,2.3286249237,,-0.729624727,-1.161023079,-2.772306938,-0.298784092,0.5113581348,-0.257980078,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.418978955,0.013108,0.533730,-0.809560493
230003,,0.4161771912,1.4175421149,-0.423554726,,,,0.3257760046,,,0.4257342795,0,1,1,1,0,0,0,1,0,0,1,5,0.2,0.4323349728,0.013108,0.533730,0.7854667131
230005,,1.2059551626,1.1409841227,-0.729352465,,1.2566333912,-0.48428557,1.0634148004,-0.298784092,-1.703133137,0.4257342795,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.2085740548,0.013108,0.533730,0.3662268297
230013,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.013108,0.533730,
230015,,2.0147639284,-0.263754885,-0.321622146,,-0.034434386,-0.315101193,-0.116807273,,,-0.257980078,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.100723424,0.013108,0.533730,0.1641571997
230017,1.0415463051,-0.083381164,0.7634605143,-0.525487306,1.3270873457,0.462130144,1.3767425806,1.3584703187,0.5043285299,0.5113581348,-0.257980078,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.5889341205,0.013108,0.533730,1.078871875
230019,0.4600073544,-0.72091278,-0.004756131,-0.219689567,1.0872245896,-0.332373103,1.0383738259,-0.411862791,,,-0.257980078,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,0.0708923689,0.013108,0.533730,0.1082655448
230020,-0.495789337,-3.44707409,-3.450756509,-1.239015363,-0.112089191,-0.630311821,-0.991838702,-0.411862791,-3.000162909,0.9775668235,0.7675914583,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-1.093976585,0.013108,0.533730,-2.074240358
230021,0.4657651658,-0.492543246,0.4649534752,0.0861081721,0.6074990774,1.455259203,0.8691894486,1.2109425595,-1.539958143,0.627910307,0.0838771007,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.3490002837,0.013108,0.533730,0.6293303079
230022,,0.3971463967,-0.733464491,-0.831285044,,0.1641914263,,0.0307204863,0.285297815,-0.071402726,-0.257980078,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.127097027,0.013108,0.533730,-0.26268865
230024,-0.063953482,-1.187167245,-1.756290081,0.0861081721,,-0.332373103,,-0.411862791,1.0884104365,-0.071402726,-0.941694436,1,1,1,1,0,1,0,1,1,1,1,9,0.1111111111,-0.398913917,0.013108,0.533730,-0.77196651
230029,-0.812468963,-0.668578095,-1.787018747,1.3092991276,1.3270873457,-1.325502162,-1.837760589,-0.116807273,-0.517814807,0.2782537905,1.1094486371,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.276532885,0.013108,0.533730,-0.542672627
230030,,0.544635054,-0.575431353,-1.035150204,,-0.928250539,,0.1782482455,0.1392773383,-1.003820104,-2.65098033,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.666433986,0.013108,0.533730,-1.273193818
230031,,0.5160888623,2.1857587598,-0.015824407,,0.2635043322,-0.145916815,-0.55939055,,,0.0838771007,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.332585326,0.013108,0.533730,0.5985751384
230035,,0.0498343973,0.5220209974,0.6977036498,,-0.729624727,,0.9158870412,0.3583080533,-1.35347662,0.7675914583,0,1,1,1,0,1,0,1,1,1,1,8,0.125,0.1535305313,0.013108,0.533730,0.2630969329
230036,,1.1203165874,1.0312388877,-0.933217624,,0.9586946735,1.2075582032,0.3257760046,0.1392773383,-1.236924448,-0.599837257,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.2236535962,0.013108,0.533730,0.3944799546
230037,,-0.483027848,1.9838275274,1.5131642868,,0.7600688617,0.0232675619,0.1782482455,,,0.0838771007,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.5799179622,0.013108,0.533730,1.0619791434
230038,0.909116643,0.4827849719,-0.118891175,0.391905911,1.806812858,1.1573204853,-1.668576211,0.6208315229,1.5994821047,-0.071402726,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.5031926058,0.013108,0.533730,0.9182260262
230041,-1.186726704,-1.263290423,-0.931005914,-0.933217624,-2.03099124,-1.62344088,-0.653469947,-0.264335032,0.285297815,-0.887267931,-1.283551615,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.979272681,0.013108,0.533730,-1.859330392
230046,0.3045464468,-0.192808233,-1.98456017,0.391905911,0.0078421871,0.8593817676,0.0232675619,-0.411862791,0.3583080533,1.0941189957,1.7931629948,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.2039366113,0.013108,0.533730,0.357538086
230047,-0.823984586,-0.968313108,-0.81687087,1.2073665479,0.2477049432,0.7600688617,0.7000050712,0.9158870412,0.2122875767,1.2106711679,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.2791415387,0.013108,0.533730,0.4984425176
230053,-2.752851403,-0.820824451,-0.878328201,0.7996362295,-0.351951947,-0.332373103,,-1.739612624,-0.37179433,0.7444624792,0.4257342795,1,1,1,1,1,1,0,1,1,1,1,10,0.1,-0.527790307,0.013108,0.533730,-1.013430136
