PROVIDER_ID,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
030016,-1.154063558,-1.44305488,-1.17226019,-0.254180641,-0.312251048,-1.00956652,-1.17139474,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.939317399,7.533033E-17,0.866021,-1.0846353
030022,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-0.312251048,-1.00956652,-1.17139474,-2.015871683,1,1,1,1,1,1,1,1,8,0.125,-1.194434879,7.533033E-17,0.866021,-1.379220948
030023,-0.243473324,0.5707605124,-0.231670805,0.7686551275,-0.312251048,0.9331768019,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,0.0326772468,7.533033E-17,0.866021,0.0377326082
030024,0.6671169089,-0.436147184,-0.231670805,-0.254180641,-0.312251048,-0.038194859,0.7193713829,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.046833978,7.533033E-17,0.866021,-0.054079468
030030,-2.064653791,-2.449962577,-1.17226019,-2.299852177,-2.293580553,-1.980938182,-2.116777802,-1.506819647,1,1,1,1,1,1,1,1,8,0.125,-1.985605615,7.533033E-17,0.866021,-2.29279043
030036,0.6671169089,-1.44305488,0.70891858,0.7686551275,0.6784137042,-0.038194859,0.7193713829,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,0.2601953031,7.533033E-17,0.866021,0.3004490401
030037,-1.154063558,-0.436147184,-1.17226019,-2.299852177,-1.3029158,-1.00956652,-2.116777802,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-1.311168855,7.533033E-17,0.866021,-1.514014355
030038,0.6671169089,-0.436147184,0.70891858,0.7686551275,0.6784137042,-0.038194859,0.7193713829,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,0.2587957561,7.533033E-17,0.866021,0.298832975
030043,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.17139474,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-1.063741955,7.533033E-17,0.866021,-1.228309064
030055,-1.154063558,-1.44305488,-0.231670805,-0.254180641,-0.312251048,-1.00956652,-1.17139474,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.758112221,7.533033E-17,0.866021,-0.875396621
030061,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-0.69870321,-2.015871683,1,1,1,1,1,1,1,1,8,0.125,-1.259181531,7.533033E-17,0.866021,-1.453984287
030062,-0.243473324,-1.44305488,-0.231670805,-1.277016409,-1.3029158,-1.00956652,-0.226011679,0.0203364607,1,1,1,1,1,1,1,1,8,0.125,-0.71417162,7.533033E-17,0.866021,-0.824658151
030064,-1.154063558,-0.436147184,-1.17226019,-0.254180641,-0.312251048,-1.00956652,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.695281054,7.533033E-17,0.866021,-0.802845104
030065,-1.154063558,-1.44305488,-2.112849574,-1.277016409,-1.3029158,-1.00956652,-1.17139474,-1.506819647,1,1,1,1,1,1,1,1,8,0.125,-1.372210141,7.533033E-17,0.866021,-1.584499085
030069,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-1.644086271,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-1.250091405,7.533033E-17,0.866021,-1.443487865
030071,-0.243473324,-0.436147184,-0.231670805,0.7686551275,-0.312251048,-0.038194859,0.2466798521,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.035373282,7.533033E-17,0.866021,0.0408457358
030073,-1.154063558,0.5707605124,-0.231670805,0.7686551275,-1.3029158,-1.00956652,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.447822542,7.533033E-17,0.866021,-0.517103311
030078,0.6671169089,1.5776682088,0.70891858,0.7686551275,-0.312251048,-0.038194859,0.2466798521,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.5184976583,7.533033E-17,0.866021,0.5987122822
030083,-1.154063558,-2.449962577,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-2.116777802,-1.506819647,1,1,1,1,1,1,1,1,8,0.125,-1.498672813,7.533033E-17,0.866021,-1.730526273
030084,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
030085,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.980938182,-2.116777802,-2.015871683,1,1,1,1,1,1,1,1,8,0.125,-1.557862313,7.533033E-17,0.866021,-1.798872735
030087,0.6671169089,0.5707605124,-0.231670805,-0.254180641,0.6784137042,0.9331768019,0.7193713829,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,0.2606525317,7.533033E-17,0.866021,0.3009770046
030088,-1.154063558,-1.44305488,-2.112849574,-1.277016409,-0.312251048,-1.00956652,-1.17139474,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-1.184745543,7.533033E-17,0.866021,-1.368032616
030089,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-1.3029158,-1.00956652,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-1.072832081,7.533033E-17,0.866021,-1.238805486
030092,-0.243473324,-1.44305488,-1.17226019,-0.254180641,0.6784137042,-0.038194859,-0.226011679,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.462066185,7.533033E-17,0.866021,-0.53355053
